,question,answer
1382,i saw dad wipe his nose on his sleeve yesterday.,i will talk to your father about that.
1383,i will talk to your father about that.,i bet dad did it all the time when he was my age.
1384,i bet dad did it all the time when he was my age.,your daddy was a good little boy.
1385,your daddy was a good little boy.,"how do you know? were you his mommy, too?"
1386,i'm worried.,worried about what?
1387,worried about what?,i'm getting married.
1388,i'm getting married.,"you should be happy, not worried."
1389,"you should be happy, not worried.","i am happy, but marriage is a lot of responsibility."
1390,"i am happy, but marriage is a lot of responsibility.","yes, you have to take care of your wife."
1391,"yes, you have to take care of your wife.",and i have to take care of our children.
1392,and i have to take care of our children.,are you going to start a family?
1393,are you going to start a family?,yes. we want to have a little boy and a little girl.
1394,yes. we want to have a little boy and a little girl.,that sounds wonderful.
1395,that sounds wonderful.,except we can't afford it!
1396,except we can't afford it!,no wonder you're worried.
1397,i don't get art.,or artists.
1398,or artists.,they're in a different world.
1399,they're in a different world.,i saw a painting of a jar that was full of pencils.
1400,i saw a painting of a jar that was full of pencils.,the artist said the jar was both full and empty.
1401,the artist said the jar was both full and empty.,but it was full of pencils! how could he say it was empty?
1402,but it was full of pencils! how could he say it was empty?,artists see things differently.
1403,artists see things differently.,did you ever see anything that picasso painted?
1404,did you ever see anything that picasso painted?,of course! he's world famous.
1405,of course! he's world famous.,did he ever take art lessons?
1406,did he ever take art lessons?,i can't believe it. i drew paintings like that in third grade.
1407,i can't believe it. i drew paintings like that in third grade.,where are they? maybe they are worth millions.
1408,what's the point?,the point of what?
1409,the point of what?,of living.
1410,of living.,"who knows? you live, and then you die."
1411,"who knows? you live, and then you die.",we must be here for some reason.
1412,we must be here for some reason.,maybe we're here to have fun.
1413,maybe we're here to have fun.,then why aren't i having fun?
1414,then why aren't i having fun?,because you're thinking too much.
1415,because you're thinking too much.,so i should stop thinking?
1416,so i should stop thinking?,stop thinking about what the point is.
1417,stop thinking about what the point is.,okay. i'll start thinking about having some fun.
1418,okay. i'll start thinking about having some fun.,just be patient. fun doesn't come along every five minutes.
1419,beer is a powerful drug.,so are cigarettes.
1420,so are cigarettes.,which would you prefer?
1421,which would you prefer?,what do you mean?
1422,what do you mean?,"when you die and go to heaven, they will offer you beer or cigarettes."
1423,"when you die and go to heaven, they will offer you beer or cigarettes.",i could pick only one or the other?
1424,i could pick only one or the other?,"yes. nothing's perfect, not even in heaven."
1425,"yes. nothing's perfect, not even in heaven.","boy, that's a tough one."
1426,"boy, that's a tough one.","what's so tough about it? of course, i would pick cigarettes."
1427,"what's so tough about it? of course, i would pick cigarettes.",but cigarettes taste much better when you have a cold beer.
1428,but cigarettes taste much better when you have a cold beer.,"well, you can't have everything."
1429,"well, you can't have everything.",i don't think i want to go to your heaven.
1430,my pants have a hole in the front pocket.,you shouldn't carry pens in your pocket.
1431,you shouldn't carry pens in your pocket.,yesterday a pen fell through my pants onto my shoe.
1432,yesterday a pen fell through my pants onto my shoe.,lucky for you it wasn't a sharp knife.
1433,lucky for you it wasn't a sharp knife.,who carries a sharp knife in their pocket?
1434,who carries a sharp knife in their pocket?,"criminals, of course."
1435,"criminals, of course.","anyway, i have to fix the hole."
1436,"anyway, i have to fix the hole.",you can sew it up or use an iron-on patch.
1437,you can sew it up or use an iron-on patch.,tell me about this patch.
1438,tell me about this patch.,the patch has glue. the hot iron melts the glue so the patch sticks on.
1439,the patch has glue. the hot iron melts the glue so the patch sticks on.,that sounds a lot easier than sewing.
1440,that sounds a lot easier than sewing.,"it is. but after about ten washings, the glue washes off."
1441,do you know any good jokes?,i can't remember jokes.
1442,i can't remember jokes.,neither can i.
1443,neither can i.,they go in one ear and out the other.
1444,they go in one ear and out the other.,who makes up all these jokes?
1445,who makes up all these jokes?,who knows? but there must be a hundred new ones every day.
1446,who knows? but there must be a hundred new ones every day.,"yes, just in english alone."
1447,"yes, just in english alone.",i wonder if every language has jokes.
1448,i wonder if every language has jokes.,of course! people everywhere like good jokes.
1449,of course! people everywhere like good jokes.,what do you think people joke about the most?
1450,what do you think people joke about the most?,i think most jokes are about women.
1451,i think most jokes are about women.,"oh, really? i think most jokes are about men!"
1452,you're very lucky.,why do you say that?
1453,why do you say that?,you speak two languages.
1454,you speak two languages.,"well, my english isn't perfect."
1455,"well, my english isn't perfect.",no one speaks perfect english.
1456,no one speaks perfect english.,maybe i will be the first!
1457,maybe i will be the first!,i've been thinking about learning spanish.
1458,i've been thinking about learning spanish.,spanish is easy. i'll be happy to teach you.
1459,spanish is easy. i'll be happy to teach you.,how long will it take me to learn?
1460,how long will it take me to learn?,i think it will only take you a year or two.
1461,i think it will only take you a year or two.,how soon can we begin?
1462,how soon can we begin?,ahora! that means right now.
1463,do you know what today is?,"yes, it's april 22."
1464,"yes, it's april 22.",it's more than just a date.
1465,it's more than just a date.,is it your birthday or anniversary?
1466,is it your birthday or anniversary?,"no, it's earth day."
1467,"no, it's earth day.",what's that?
1468,what's that?,it's a yearly reminder to take care of our planet.
1469,it's a yearly reminder to take care of our planet.,"oh, you mean like reuse things and recycle stuff?"
1470,"oh, you mean like reuse things and recycle stuff?","yes. we need to think green, save water, and stop using plastic bags."
1471,"yes. we need to think green, save water, and stop using plastic bags.",how about if i take shorter showers?
1472,how about if i take shorter showers?,"that's a good idea, because showers waste a lot of water."
1473,"that's a good idea, because showers waste a lot of water.",from now on i'll spend only 20 minutes in the shower.
1474,poetry sucks.,i don't know anyone who likes it.
1475,i don't know anyone who likes it.,"some of it is okay, i guess."
1476,"some of it is okay, i guess.","yes, the poems that rhyme and are easy to remember."
1477,"yes, the poems that rhyme and are easy to remember.","like ""one, two, buckle my shoe."""
1478,"like ""one, two, buckle my shoe.""",but people still write poems.
1479,but people still write poems.,no one makes any money at it.
1480,no one makes any money at it.,shakespeare was a poet.
1481,shakespeare was a poet.,did he get rich from his poetry?
1482,did he get rich from his poetry?,probably not.
1483,probably not.,poems are a little bit like songs.
1484,poems are a little bit like songs.,"yes, but songs have music. without music, songs would suck, too."
1485,how smart are you?,i don't know. i think i'm average.
1486,i don't know. i think i'm average.,did you ever take an iq test?
1487,did you ever take an iq test?,"no, i never did. all i know is that i got a's and b's in school."
1488,"no, i never did. all i know is that i got a's and b's in school.",i wish i was really smart.
1489,i wish i was really smart.,don't be ridiculous.
1490,don't be ridiculous.,what do you mean?
1491,what do you mean?,"if you're going to make a wish, wish that you were really rich or famous."
